,Unnamed: 0,stimulus,repeat,fish,date,stimulus_direction,tail_beat
774,774,s07,3,2,20201125,forward,0
775,775,s07,3,2,20201126,forward,13
776,776,s07,3,2,20201211,forward,0
791,791,s08,1,1,20201125,forward,53
792,792,s08,1,1,20201126,forward,18
793,793,s08,1,1,20201210,forward,25
794,794,s08,1,1,20201211,forward,71
811,811,s08,1,2,20201120,forward,22
812,812,s08,1,2,20201126,forward,30
813,813,s08,1,2,20201211,forward,4
828,828,s08,2,1,20201125,forward,50
829,829,s08,2,1,20201126,forward,56
830,830,s08,2,1,20201210,forward,27
831,831,s08,2,1,20201211,forward,73
848,848,s08,2,2,20201120,forward,16
849,849,s08,2,2,20201125,forward,239
850,850,s08,2,2,20201126,forward,0
851,851,s08,2,2,20201211,forward,23
866,866,s08,3,1,20201125,forward,116
867,867,s08,3,1,20201126,forward,51
868,868,s08,3,1,20201210,forward,17
869,869,s08,3,1,20201211,forward,52
886,886,s08,3,2,20201120,forward,46
887,887,s08,3,2,20201125,forward,48
888,888,s08,3,2,20201126,forward,8
889,889,s08,3,2,20201211,forward,8
904,904,s09,1,1,20201125,forward,86
905,905,s09,1,1,20201126,forward,55
906,906,s09,1,1,20201210,forward,57
907,907,s09,1,1,20201211,forward,146
924,924,s09,1,2,20201120,forward,70
925,925,s09,1,2,20201126,forward,56
926,926,s09,1,2,20201211,forward,29
941,941,s09,2,1,20201125,forward,94
942,942,s09,2,1,20201126,forward,45
943,943,s09,2,1,20201210,forward,59
944,944,s09,2,1,20201211,forward,126
961,961,s09,2,2,20201120,forward,83
962,962,s09,2,2,20201125,forward,243
963,963,s09,2,2,20201126,forward,57
964,964,s09,2,2,20201211,forward,79
979,979,s09,3,1,20201125,forward,138
980,980,s09,3,1,20201126,forward,40
981,981,s09,3,1,20201210,forward,26
982,982,s09,3,1,20201211,forward,29
999,999,s09,3,2,20201120,forward,47
1000,1000,s09,3,2,20201125,forward,90
1001,1001,s09,3,2,20201126,forward,31
1002,1002,s09,3,2,20201211,forward,45
1017,1017,s10,1,1,20201125,forward,105
1018,1018,s10,1,1,20201126,forward,43
1019,1019,s10,1,1,20201210,forward,63
1020,1020,s10,1,1,20201211,forward,97
1037,1037,s10,1,2,20201120,forward,63
1038,1038,s10,1,2,20201126,forward,67
1039,1039,s10,1,2,20201211,forward,0
1054,1054,s10,2,1,20201125,forward,7
1055,1055,s10,2,1,20201126,forward,34
1056,1056,s10,2,1,20201210,forward,57
1057,1057,s10,2,1,20201211,forward,47
1074,1074,s10,2,2,20201120,forward,11
1075,1075,s10,2,2,20201125,forward,158
1076,1076,s10,2,2,20201126,forward,8
1077,1077,s10,2,2,20201211,forward,30
1092,1092,s10,3,1,20201125,forward,73
1093,1093,s10,3,1,20201126,forward,37
1094,1094,s10,3,1,20201210,forward,30
1095,1095,s10,3,1,20201211,forward,73
1112,1112,s10,3,2,20201120,forward,53
1113,1113,s10,3,2,20201125,forward,142
1114,1114,s10,3,2,20201126,forward,3
1115,1115,s10,3,2,20201211,forward,10
1130,1130,s11,1,1,20201125,forward,143
1131,1131,s11,1,1,20201126,forward,28
1132,1132,s11,1,1,20201210,forward,37
1133,1133,s11,1,1,20201211,forward,65
1150,1150,s11,1,2,20201120,forward,63
1151,1151,s11,1,2,20201126,forward,55
1152,1152,s11,1,2,20201211,forward,38
1167,1167,s11,2,1,20201125,forward,138
1168,1168,s11,2,1,20201126,forward,45
1169,1169,s11,2,1,20201210,forward,52
1170,1170,s11,2,1,20201211,forward,77
1187,1187,s11,2,2,20201120,forward,104
1188,1188,s11,2,2,20201125,forward,141
1189,1189,s11,2,2,20201126,forward,0
1190,1190,s11,2,2,20201211,forward,19
1205,1205,s11,3,1,20201125,forward,147
1206,1206,s11,3,1,20201126,forward,26
1207,1207,s11,3,1,20201210,forward,36
1208,1208,s11,3,1,20201211,forward,36
1225,1225,s11,3,2,20201120,forward,49
1226,1226,s11,3,2,20201125,forward,81
1227,1227,s11,3,2,20201126,forward,25
1228,1228,s11,3,2,20201211,forward,65
1243,1243,s12,1,1,20201125,forward,124
1244,1244,s12,1,1,20201126,forward,51
1245,1245,s12,1,1,20201210,forward,58
1246,1246,s12,1,1,20201211,forward,147
1263,1263,s12,1,2,20201120,forward,73
1264,1264,s12,1,2,20201126,forward,46
1265,1265,s12,1,2,20201211,forward,50
1280,1280,s12,2,1,20201125,forward,102
1281,1281,s12,2,1,20201126,forward,62
1282,1282,s12,2,1,20201210,forward,12
1283,1283,s12,2,1,20201211,forward,96
1300,1300,s12,2,2,20201120,forward,54
1301,1301,s12,2,2,20201125,forward,193
1302,1302,s12,2,2,20201126,forward,18
1303,1303,s12,2,2,20201211,forward,26
1318,1318,s12,3,1,20201125,forward,173
1319,1319,s12,3,1,20201126,forward,51
1320,1320,s12,3,1,20201210,forward,42
1321,1321,s12,3,1,20201211,forward,67
1338,1338,s12,3,2,20201120,forward,87
1339,1339,s12,3,2,20201125,forward,78
1340,1340,s12,3,2,20201126,forward,12
1341,1341,s12,3,2,20201211,forward,39
1356,1356,s13,1,1,20201125,forward,130
1357,1357,s13,1,1,20201126,forward,22
1358,1358,s13,1,1,20201210,forward,61
1359,1359,s13,1,1,20201211,forward,65
1376,1376,s13,1,2,20201120,forward,86
1377,1377,s13,1,2,20201126,forward,52
1378,1378,s13,1,2,20201211,forward,42
1393,1393,s13,2,1,20201125,forward,130
1394,1394,s13,2,1,20201126,forward,22
1395,1395,s13,2,1,20201210,forward,56
1396,1396,s13,2,1,20201211,forward,62
1413,1413,s13,2,2,20201120,forward,53
1414,1414,s13,2,2,20201125,forward,142
1415,1415,s13,2,2,20201126,forward,16
1416,1416,s13,2,2,20201211,forward,0
1431,1431,s13,3,1,20201125,forward,142
1432,1432,s13,3,1,20201126,forward,29
1433,1433,s13,3,1,20201210,forward,28
1434,1434,s13,3,1,20201211,forward,88
1451,1451,s13,3,2,20201120,forward,57
1452,1452,s13,3,2,20201125,forward,126
1453,1453,s13,3,2,20201126,forward,9
1454,1454,s13,3,2,20201211,forward,86
1469,1469,s14,1,1,20201125,forward,0
1470,1470,s14,1,1,20201126,forward,18
1471,1471,s14,1,1,20201210,forward,0
1472,1472,s14,1,1,20201211,forward,119
1489,1489,s14,1,2,20201120,forward,0
1490,1490,s14,1,2,20201126,forward,0
1491,1491,s14,1,2,20201211,forward,0
1506,1506,s14,2,1,20201125,forward,0
1507,1507,s14,2,1,20201126,forward,13
1508,1508,s14,2,1,20201210,forward,0
1509,1509,s14,2,1,20201211,forward,0
1526,1526,s14,2,2,20201120,forward,0
1527,1527,s14,2,2,20201125,forward,63
1528,1528,s14,2,2,20201126,forward,0
1529,1529,s14,2,2,20201211,forward,0
1544,1544,s14,3,1,20201125,forward,0
1545,1545,s14,3,1,20201126,forward,40
1546,1546,s14,3,1,20201210,forward,14
1547,1547,s14,3,1,20201211,forward,0
1564,1564,s14,3,2,20201120,forward,0
1565,1565,s14,3,2,20201125,forward,89
1566,1566,s14,3,2,20201126,forward,0
1567,1567,s14,3,2,20201211,forward,0
1582,1582,s15,1,1,20201125,forward,112
1583,1583,s15,1,1,20201126,forward,26
1584,1584,s15,1,1,20201210,forward,48
1585,1585,s15,1,1,20201211,forward,89
1602,1602,s15,1,2,20201120,forward,49
1603,1603,s15,1,2,20201126,forward,1
1604,1604,s15,1,2,20201211,forward,10
1619,1619,s15,2,1,20201125,forward,142
1620,1620,s15,2,1,20201126,forward,15
1621,1621,s15,2,1,20201210,forward,38
1622,1622,s15,2,1,20201211,forward,80
1639,1639,s15,2,2,20201120,forward,66
1640,1640,s15,2,2,20201125,forward,68
1641,1641,s15,2,2,20201126,forward,0
1642,1642,s15,2,2,20201211,forward,32
1657,1657,s15,3,1,20201125,forward,103
1658,1658,s15,3,1,20201126,forward,56
1659,1659,s15,3,1,20201210,forward,16
1660,1660,s15,3,1,20201211,forward,18
1677,1677,s15,3,2,20201120,forward,52
1678,1678,s15,3,2,20201125,forward,0
1679,1679,s15,3,2,20201126,forward,7
1680,1680,s15,3,2,20201211,forward,26
1695,1695,s16,1,1,20201125,forward,41
1696,1696,s16,1,1,20201126,forward,34
1697,1697,s16,1,1,20201210,forward,43
1698,1698,s16,1,1,20201211,forward,106
1715,1715,s16,1,2,20201120,forward,63
1716,1716,s16,1,2,20201126,forward,51
1717,1717,s16,1,2,20201211,forward,0
1732,1732,s16,2,1,20201125,forward,69
1733,1733,s16,2,1,20201126,forward,51
1734,1734,s16,2,1,20201210,forward,98
1735,1735,s16,2,1,20201211,forward,97
1752,1752,s16,2,2,20201120,forward,52
1753,1753,s16,2,2,20201125,forward,187
1754,1754,s16,2,2,20201126,forward,13
1755,1755,s16,2,2,20201211,forward,38
1770,1770,s16,3,1,20201125,forward,138
1771,1771,s16,3,1,20201126,forward,34
1772,1772,s16,3,1,20201210,forward,39
1773,1773,s16,3,1,20201211,forward,77
1790,1790,s16,3,2,20201120,forward,46
